Train_Dataset,Test_Dataset,Spearman_r,p_value,Optimization_Success,Objective_Value,Params
PTEN.csv,PTEN.csv (Train Set),0.5181351221235706,0.0,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PTEN.csv,PAFA.csv,0.5200684017208436,1.7544593087659552e-71,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PTEN.csv,AICDA.csv,0.36219077148906564,7.092444557276296e-08,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PTEN.csv,AMIE.csv,0.5657035482007348,0.0,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PTEN.csv,CAS9.csv,0.1700236942994163,1.0564967451917797e-53,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PTEN.csv,LGK.csv,0.5173750606000427,0.0,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PTEN.csv,OTC.csv,0.6410022586264186,2.1599526215248826e-182,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PTEN.csv,PTEN_2018.csv,0.5224649781632829,0.0,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PTEN.csv,RASH.csv,0.43222275490245593,7.463787751679513e-143,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PTEN.csv,RNC.csv,0.4891712561494085,3.194130211107495e-256,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PTEN.csv,RUBISCO.csv,0.572486447479531,0.0,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PTEN.csv,VKOR1.csv,0.31057032255363015,4.739240370535604e-17,True,15601756.198092397,[-0.0948 -0.5    -0.2986  0.1973]
PAFA.csv,PTEN.csv,0.5255046494352938,0.0,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
PAFA.csv,PAFA.csv (Train Set),0.5352390396208903,2.2175353415474992e-76,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
PAFA.csv,AICDA.csv,0.370739802595233,3.280565382405502e-08,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
PAFA.csv,AMIE.csv,0.5615320584406926,0.0,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
